28/05/201907:55,13,1.875
28/05/201907:55,18,2
28/05/201907:55,17,2.375
28/05/201907:55,33,2.5
28/05/201907:55,19,1.375
28/05/201907:55,17,2.5
28/05/201907:55,17,1.25
28/05/201907:55,15,1.125
28/05/201907:55,5,0.75
28/05/201907:55,0,1
28/05/201907:55,8,1.25
28/05/201907:55,17,2.375
28/05/201907:55,19,1.4
28/05/201907:55,19,1.5
28/05/201907:55,20,1.625
28/05/201907:55,26,1.875
28/05/201907:55,30,2.25
28/05/201907:55,29,1.375
28/05/201907:55,23,1.125
28/05/201907:55,22,1.625
28/05/201907:55,6,0.875
28/05/201907:55,0,0.75
